ORDER_ID,CUSTOMER_ID,ORDER_TS,REGION,PRIORITY,PACKAGE_WEIGHT_KG,DISTANCE_KM
ORD000068,CUST00903,2026-03-04 06:34:00,SOUTH,PRIORITY,6.46,103.5
ORD000069,CUST00152,2026-04-16 07:02:00,NORTH,STANDARD,20.32,113.9
ORD000070,CUST00463,2026-05-22 11:03:00,CENTRAL,STANDARD,22.73,36.4
ORD000071,CUST00204,2026-05-20 02:26:00,SOUTH,EXPRESS,6.76,10.7
ORD000072,CUST00963,2026-02-23 06:31:00,NORTH,STANDARD,17.73,84.7
ORD000073,CUST00542,2026-05-24 16:04:00,CENTRAL,EXPRESS,23.35,51.6
ORD000074,CUST00147,2026-01-12 02:33:00,SOUTH,EXPRESS,14.96,99.1
ORD000075,CUST00623,2026-05-08 15:10:00,WEST,PRIORITY,12.61,59.8
ORD000076,CUST00469,2026-05-04 00:03:00,CENTRAL,STANDARD,0.71,92.0
ORD000077,CUST01063,2026-04-29 20:29:00,WEST,PRIORITY,4.7,70.7
ORD000078,CUST00215,2026-01-30 12:39:00,EAST,STANDARD,12.49,79.8
ORD000079,CUST00645,2026-02-16 04:44:00,EAST,STANDARD,19.36,103.9
ORD000080,CUST01021,2026-04-25 02:27:00,WEST,EXPRESS,5.25,66.4
ORD000081,CUST00249,2026-01-06 12:07:00,CENTRAL,EXPRESS,17.8,38.0
ORD000082,CUST00946,2026-01-22 15:13:00,SOUTH,STANDARD,17.97,61.6
ORD000083,CUST00500,2026-03-25 09:43:00,CENTRAL,STANDARD,4.93,72.3
ORD000084,CUST00548,2026-05-30 15:02:00,NORTH,STANDARD,7.6,70.8
ORD000085,CUST00992,2026-03-05 01:52:00,EAST,STANDARD,13.68,55.2
ORD000086,CUST00842,2026-01-09 04:41:00,EAST,EXPRESS,17.69,97.6
ORD000087,CUST00259,2026-04-02 16:32:00,CENTRAL,STANDARD,2.69,101.6
ORD000088,CUST00317,2026-01-14 20:55:00,WEST,EXPRESS,6.77,75.2
ORD000089,CUST00779,2026-02-27 21:30:00,WEST,EXPRESS,1.09,9.1
ORD000090,CUST00206,2026-03-23 00:27:00,SOUTH,EXPRESS,22.6,6.5
ORD000091,CUST00883,2026-01-27 18:00:00,SOUTH,STANDARD,14.24,95.3
ORD000092,CUST01195,2026-01-27 07:17:00,SOUTH,STANDARD,6.5,31.4
ORD000093,CUST00324,2026-01-14 16:42:00,WEST,PRIORITY,24.69,36.6
ORD000094,CUST00990,2026-01-20 15:58:00,SOUTH,STANDARD,9.1,36.2
ORD000095,CUST00563,2026-01-02 17:22:00,CENTRAL,EXPRESS,19.5,116.9
ORD000096,CUST00390,2026-04-24 06:42:00,EAST,EXPRESS,18.08,79.4
ORD000097,CUST00633,2026-05-24 19:29:00,WEST,STANDARD,9.25,16.6
ORD000098,CUST01105,2026-03-08 20:27:00,CENTRAL,STANDARD,6.96,20.6
ORD000099,CUST00236,2026-03-27 12:10:00,NORTH,STANDARD,24.17,103.4
ORD000100,CUST00932,2026-03-09 08:22:00,EAST,STANDARD,20.6,112.9
ORD000101,CUST01150,2026-03-01 23:04:00,CENTRAL,STANDARD,1.77,99.0
ORD000102,CUST01009,2026-01-22 09:20:00,NORTH,STANDARD,13.53,47.2
ORD000103,CUST00850,2026-04-30 11:23:00,NORTH,EXPRESS,15.47,112.7
ORD000104,CUST00484,2026-03-08 06:35:00,NORTH,PRIORITY,9.31,108.3
ORD000105,CUST00389,2026-01-23 11:43:00,WEST,STANDARD,5.46,77.1
ORD000106,CUST00421,2026-01-13 17:45:00,CENTRAL,STANDARD,5.56,104.5
ORD000107,CUST00568,2026-01-27 14:09:00,SOUTH,STANDARD,20.0,14.1
ORD000108,CUST00664,2026-01-04 02:56:00,SOUTH,STANDARD,3.34,51.1
ORD000109,CUST00742,2026-04-04 16:22:00,CENTRAL,STANDARD,12.7,113.5
ORD000110,CUST00823,2026-03-19 20:25:00,NORTH,STANDARD,22.76,9.7
ORD000111,CUST00135,2026-01-24 05:20:00,EAST,EXPRESS,14.72,85.7
ORD000112,CUST00235,2026-04-30 10:29:00,CENTRAL,EXPRESS,5.53,54.7
ORD000113,CUST00817,2026-03-17 23:29:00,NORTH,STANDARD,7.95,31.3
ORD000114,CUST00198,2026-05-16 19:09:00,EAST,EXPRESS,14.0,70.8
ORD000115,CUST00842,2026-03-06 14:53:00,WEST,EXPRESS,18.08,116.2
ORD000116,CUST00988,2026-02-11 01:44:00,NORTH,STANDARD,14.0,14.7
ORD000117,CUST01141,2026-01-06 00:42:00,CENTRAL,PRIORITY,20.77,32.8
ORD000118,CUST00372,2026-01-27 07:52:00,CENTRAL,EXPRESS,1.93,89.2
ORD000119,CUST00441,2026-03-10 17:37:00,WEST,STANDARD,4.1,38.1
ORD000120,CUST00168,2026-02-19 18:50:00,WEST,EXPRESS,12.24,53.6
ORD000121,CUST00707,2026-03-20 12:19:00,NORTH,STANDARD,17.03,58.9
ORD000122,CUST00419,2026-02-25 02:55:00,SOUTH,EXPRESS,19.15,35.4
ORD000123,CUST00360,2026-01-24 18:25:00,WEST,STANDARD,5.91,67.5
ORD000124,CUST00160,2026-02-27 05:46:00,CENTRAL,STANDARD,10.23,77.2
ORD000125,CUST00666,2026-02-01 12:55:00,CENTRAL,STANDARD,17.3,44.1
ORD000126,CUST00811,2026-02-26 17:36:00,EAST,STANDARD,19.52,10.1
ORD000127,CUST00303,2026-02-13 06:16:00,NORTH,STANDARD,5.09,72.7
ORD000128,CUST01187,2026-03-23 23:17:00,CENTRAL,EXPRESS,24.67,39.5
ORD000129,CUST00961,2026-03-22 18:02:00,EAST,EXPRESS,14.87,42.9
ORD000130,CUST00588,2026-01-15 05:14:00,NORTH,EXPRESS,12.78,56.1
ORD000131,CUST00659,2026-04-21 09:18:00,WEST,STANDARD,23.95,54.6
ORD000132,CUST00900,2026-04-06 15:41:00,CENTRAL,EXPRESS,9.22,110.2
ORD000133,CUST00686,2026-01-13 05:58:00,EAST,STANDARD,17.02,34.8
ORD000134,CUST00717,2026-02-26 17:25:00,WEST,STANDARD,17.78,11.1
ORD000135,CUST00262,2026-05-03 05:46:00,CENTRAL,STANDARD,16.83,61.5
ORD000136,CUST00996,2026-02-05 04:53:00,SOUTH,PRIORITY,4.04,36.2
ORD000137,CUST00269,2026-04-19 23:24:00,WEST,STANDARD,4.68,83.4
ORD000138,CUST00487,2026-03-23 02:44:00,CENTRAL,STANDARD,18.76,54.4
ORD000139,CUST00398,2026-03-09 05:07:00,CENTRAL,PRIORITY,11.65,34.5
ORD000140,CUST00513,2026-01-10 17:58:00,WEST,EXPRESS,13.95,13.2
ORD000141,CUST00329,2026-02-19 21:50:00,WEST,PRIORITY,3.85,53.1
ORD000142,CUST00766,2026-02-13 04:07:00,WEST,PRIORITY,9.5,4.4
ORD000143,CUST00079,2026-02-22 11:23:00,WEST,EXPRESS,3.64,85.0
ORD000144,CUST01124,2026-05-13 15:20:00,CENTRAL,STANDARD,2.96,35.3
ORD000145,CUST00860,2026-04-27 13:37:00,CENTRAL,STANDARD,2.95,108.7
ORD000146,CUST00597,2026-03-20 09:22:00,NORTH,EXPRESS,6.17,50.6
ORD000147,CUST01115,2026-04-03 14:32:00,CENTRAL,STANDARD,9.88,56.9
ORD000148,CUST00494,2026-05-14 16:16:00,NORTH,EXPRESS,18.43,40.6
ORD000149,CUST00359,2026-05-23 02:07:00,WEST,PRIORITY,12.07,22.7
ORD000150,CUST00409,2026-01-08 21:05:00,EAST,PRIORITY,12.98,118.7
ORD000151,CUST00392,2026-02-22 08:02:00,EAST,EXPRESS,1.39,79.0
ORD000152,CUST00792,2026-03-03 23:16:00,SOUTH,STANDARD,12.54,111.0
ORD000153,CUST00162,2026-03-20 15:21:00,CENTRAL,PRIORITY,4.68,36.0
ORD000154,CUST00873,2026-01-31 14:04:00,WEST,STANDARD,1.25,104.5
ORD000155,CUST00154,2026-05-03 10:26:00,WEST,STANDARD,20.07,81.8
ORD000156,CUST00751,2026-03-08 04:15:00,WEST,PRIORITY,1.0,19.3
ORD000157,CUST00158,2026-04-15 17:30:00,SOUTH,STANDARD,10.07,78.3
ORD000158,CUST01151,2026-01-22 16:30:00,EAST,EXPRESS,17.66,26.5
ORD000159,CUST00410,2026-01-23 13:48:00,SOUTH,EXPRESS,11.41,107.9
ORD000160,CUST01127,2026-04-09 22:46:00,EAST,EXPRESS,21.31,85.7
ORD000161,CUST00249,2026-02-06 20:05:00,SOUTH,STANDARD,12.45,43.9
ORD000162,CUST00135,2026-02-26 13:18:00,WEST,PRIORITY,18.03,63.6
ORD000163,CUST00152,2026-03-24 03:58:00,WEST,EXPRESS,8.74,105.5
ORD000164,CUST00255,2026-04-05 13:37:00,SOUTH,STANDARD,4.22,112.2
ORD000165,CUST00162,2026-02-15 20:54:00,SOUTH,EXPRESS,13.86,15.9
ORD000166,CUST00351,2026-05-01 04:02:00,CENTRAL,EXPRESS,15.21,101.3
ORD000167,CUST00094,2026-04-28 00:33:00,CENTRAL,STANDARD,5.43,69.1
ORD000168,CUST00990,2026-02-14 19:53:00,WEST,STANDARD,2.01,8.1
ORD000169,CUST00418,2026-03-04 04:19:00,CENTRAL,STANDARD,21.56,39.0
ORD000170,CUST00496,2026-03-27 04:02:00,NORTH,STANDARD,6.35,12.5
ORD000171,CUST00509,2026-01-30 07:44:00,EAST,PRIORITY,18.08,23.6
ORD000172,CUST00048,2026-01-17 15:25:00,WEST,STANDARD,24.17,26.6
ORD000173,CUST01014,2026-04-20 00:35:00,WEST,STANDARD,0.4,13.8
ORD000174,CUST00821,2026-01-10 13:30:00,CENTRAL,STANDARD,9.19,35.3
ORD000175,CUST00244,2026-01-24 16:08:00,NORTH,STANDARD,19.91,41.4
ORD000176,CUST00080,2026-01-26 04:43:00,EAST,EXPRESS,13.08,18.7
ORD000177,CUST00333,2026-03-13 18:50:00,CENTRAL,EXPRESS,7.62,41.0
ORD000178,CUST00679,2026-05-03 21:54:00,NORTH,PRIORITY,14.68,95.8
ORD000179,CUST00106,2026-04-17 11:27:00,WEST,STANDARD,15.8,74.7
ORD000180,CUST00226,2026-02-04 23:32:00,NORTH,STANDARD,10.59,50.1
ORD000181,CUST00128,2026-05-09 17:34:00,SOUTH,STANDARD,14.11,119.8
ORD000182,CUST01119,2026-03-06 17:54:00,EAST,EXPRESS,4.97,30.3
ORD000183,CUST00592,2026-05-09 13:45:00,SOUTH,EXPRESS,12.33,58.1
ORD000184,CUST00809,2026-05-30 05:32:00,EAST,PRIORITY,20.15,35.6
ORD000185,CUST00526,2026-05-17 07:10:00,WEST,STANDARD,20.73,33.3
ORD000186,CUST00497,2026-01-10 11:47:00,CENTRAL,STANDARD,5.97,12.9
ORD000187,CUST00011,2026-04-11 10:31:00,SOUTH,STANDARD,23.39,105.5
ORD000188,CUST00184,2026-04-29 23:56:00,CENTRAL,STANDARD,18.52,102.2
ORD000189,CUST00075,2026-03-14 12:29:00,WEST,STANDARD,18.78,104.8
ORD000190,CUST00687,2026-02-22 01:16:00,WEST,PRIORITY,13.67,59.8
ORD000191,CUST00231,2026-03-02 10:46:00,SOUTH,EXPRESS,16.28,86.5
ORD000192,CUST00831,2026-03-20 02:39:00,CENTRAL,STANDARD,10.14,12.4
ORD000193,CUST00014,2026-02-17 17:23:00,WEST,STANDARD,18.89,114.5
ORD000194,CUST00243,2026-03-26 23:20:00,EAST,STANDARD,17.21,110.8
ORD000195,CUST00753,2026-04-23 03:20:00,SOUTH,STANDARD,3.51,19.2
ORD000196,CUST00448,2026-05-19 22:36:00,SOUTH,EXPRESS,14.98,94.7
ORD000197,CUST00160,2026-04-13 22:53:00,NORTH,STANDARD,13.78,61.2
ORD000198,CUST00421,2026-05-11 18:15:00,CENTRAL,STANDARD,22.49,54.0
ORD000199,CUST00851,2026-03-25 09:46:00,CENTRAL,STANDARD,11.67,97.0
ORD000200,CUST00093,2026-03-19 09:09:00,EAST,EXPRESS,13.62,8.2
ORD000201,CUST00838,2026-02-03 00:21:00,SOUTH,EXPRESS,24.46,77.9
ORD000202,CUST00770,2026-01-15 20:37:00,CENTRAL,STANDARD,21.54,15.1
ORD000203,CUST00457,2026-01-01 21:10:00,NORTH,PRIORITY,11.68,86.6
ORD000204,CUST00387,2026-05-13 05:40:00,NORTH,STANDARD,16.57,74.2
ORD000205,CUST00207,2026-04-19 08:58:00,NORTH,STANDARD,16.87,104.8
ORD000206,CUST00116,2026-01-26 18:15:00,CENTRAL,PRIORITY,6.01,110.1
ORD000207,CUST00486,2026-02-25 04:25:00,SOUTH,PRIORITY,13.13,50.2
ORD000208,CUST01016,2026-01-09 18:50:00,EAST,PRIORITY,16.85,94.5
ORD000209,CUST00615,2026-03-10 18:46:00,SOUTH,EXPRESS,11.94,102.1
ORD000210,CUST01142,2026-04-07 17:34:00,SOUTH,STANDARD,6.52,40.3
ORD000211,CUST01097,2026-05-13 03:45:00,SOUTH,STANDARD,9.55,73.0
ORD000212,CUST00682,2026-02-25 10:38:00,NORTH,STANDARD,4.91,89.2
ORD000213,CUST00813,2026-02-13 19:39:00,CENTRAL,STANDARD,7.22,56.5
ORD000214,CUST00202,2026-05-27 09:33:00,WEST,EXPRESS,8.14,25.2
ORD000215,CUST00299,2026-01-04 04:51:00,EAST,STANDARD,14.68,86.7
ORD000216,CUST00504,2026-04-02 03:28:00,CENTRAL,EXPRESS,17.18,31.6
ORD000217,CUST00722,2026-02-01 01:31:00,SOUTH,EXPRESS,12.31,110.1
ORD000218,CUST00100,2026-05-20 09:26:00,NORTH,STANDARD,21.1,28.5
ORD000219,CUST00934,2026-03-10 04:32:00,NORTH,EXPRESS,16.74,74.4
ORD000220,CUST00035,2026-04-07 15:03:00,EAST,STANDARD,7.31,60.8
ORD000221,CUST01074,2026-01-28 08:32:00,SOUTH,STANDARD,13.26,98.0
ORD000222,CUST00499,2026-05-08 04:16:00,SOUTH,STANDARD,20.74,10.6
ORD000223,CUST00773,2026-04-11 20:47:00,WEST,STANDARD,0.43,21.4
ORD000224,CUST00196,2026-04-07 09:33:00,NORTH,STANDARD,22.55,83.4
ORD000225,CUST00153,2026-05-05 20:18:00,EAST,EXPRESS,14.18,4.9
ORD000226,CUST00816,2026-01-15 06:08:00,EAST,STANDARD,6.16,100.3
ORD000227,CUST00161,2026-04-02 09:59:00,EAST,STANDARD,11.04,100.8
ORD000228,CUST00923,2026-03-31 13:28:00,SOUTH,STANDARD,23.54,52.4
ORD000229,CUST00505,2026-05-11 01:37:00,NORTH,STANDARD,4.02,85.7
ORD000230,CUST00632,2026-03-23 05:04:00,EAST,EXPRESS,2.74,11.4
ORD000231,CUST01050,2026-03-16 12:46:00,NORTH,STANDARD,8.98,12.1
ORD000232,CUST00174,2026-05-13 04:53:00,CENTRAL,PRIORITY,24.46,69.1
ORD000233,CUST00551,2026-02-25 01:39:00,EAST,STANDARD,1.77,52.7
ORD000234,CUST01016,2026-04-19 08:22:00,CENTRAL,STANDARD,2.85,37.3
ORD000235,CUST00675,2026-03-22 09:21:00,EAST,STANDARD,20.62,78.5
ORD000236,CUST00982,2026-02-27 10:41:00,SOUTH,PRIORITY,24.22,35.7
ORD000237,CUST00575,2026-05-29 21:19:00,WEST,STANDARD,23.32,24.8
ORD000238,CUST00430,2026-03-22 01:38:00,EAST,EXPRESS,1.92,101.9
ORD000239,CUST00496,2026-02-16 05:58:00,SOUTH,EXPRESS,19.77,9.8
ORD000240,CUST00857,2026-04-10 05:13:00,NORTH,EXPRESS,9.12,107.6
ORD000241,CUST00728,2026-01-31 12:44:00,CENTRAL,STANDARD,24.59,81.6
ORD000242,CUST01046,2026-05-17 05:03:00,CENTRAL,STANDARD,17.25,27.3
ORD000243,CUST00309,2026-03-05 01:11:00,NORTH,STANDARD,7.53,110.5
ORD000244,CUST00424,2026-04-06 02:47:00,WEST,STANDARD,2.62,86.9
ORD000245,CUST00092,2026-05-28 17:45:00,NORTH,STANDARD,8.71,14.0
ORD000246,CUST00874,2026-03-26 08:44:00,SOUTH,EXPRESS,15.82,23.2
ORD000247,CUST00921,2026-04-19 01:22:00,WEST,STANDARD,17.68,25.5
ORD000248,CUST00234,2026-02-18 00:14:00,WEST,STANDARD,16.05,72.0
ORD000249,CUST00713,2026-03-06 07:50:00,WEST,EXPRESS,20.38,85.0
ORD000250,CUST00240,2026-02-03 13:44:00,EAST,EXPRESS,12.87,50.8
ORD000251,CUST00997,2026-04-26 22:32:00,CENTRAL,EXPRESS,16.2,120.0
ORD000252,CUST00924,2026-04-24 00:14:00,NORTH,EXPRESS,23.81,58.7
ORD000253,CUST01014,2026-03-16 17:32:00,WEST,STANDARD,21.03,59.2
ORD000254,CUST00592,2026-01-31 20:54:00,WEST,STANDARD,19.36,59.9
ORD000255,CUST00549,2026-05-22 08:31:00,CENTRAL,EXPRESS,9.3,98.9
ORD000256,CUST00507,2026-02-24 10:42:00,NORTH,STANDARD,8.84,98.2
ORD000257,CUST00719,2026-05-10 15:19:00,CENTRAL,EXPRESS,4.32,17.6
ORD000258,CUST00345,2026-03-01 04:03:00,EAST,STANDARD,6.83,103.1
ORD000259,CUST00568,2026-04-30 15:39:00,SOUTH,EXPRESS,3.49,18.4
ORD000260,CUST00551,2026-04-25 12:57:00,WEST,STANDARD,2.07,95.6
ORD000261,CUST00756,2026-03-25 00:35:00,WEST,STANDARD,0.26,93.1
ORD000262,CUST00815,2026-02-09 21:42:00,WEST,EXPRESS,12.47,39.4
ORD000263,CUST01160,2026-03-30 14:28:00,EAST,EXPRESS,19.1,6.5
ORD000264,CUST00877,2026-02-07 01:56:00,SOUTH,EXPRESS,7.69,105.1
ORD000265,CUST00513,2026-01-16 06:06:00,EAST,EXPRESS,16.29,7.2
ORD000266,CUST00977,2026-01-15 10:31:00,SOUTH,STANDARD,13.08,54.0
ORD000267,CUST00271,2026-03-29 05:06:00,NORTH,STANDARD,2.42,96.9
ORD000268,CUST00273,2026-04-28 01:05:00,SOUTH,STANDARD,14.17,73.6
ORD000269,CUST00311,2026-03-17 04:47:00,CENTRAL,EXPRESS,21.53,11.3
ORD000270,CUST00287,2026-02-15 08:35:00,EAST,EXPRESS,6.35,72.5
ORD000271,CUST00618,2026-02-07 15:36:00,CENTRAL,EXPRESS,4.88,47.6
ORD000272,CUST00146,2026-04-07 10:07:00,NORTH,PRIORITY,23.36,16.7
ORD000273,CUST00354,2026-05-20 02:24:00,WEST,PRIORITY,19.31,3.0
ORD000274,CUST00816,2026-04-03 11:24:00,EAST,EXPRESS,12.63,50.4
ORD000275,CUST01102,2026-04-23 09:33:00,SOUTH,STANDARD,7.89,61.8
ORD000276,CUST00136,2026-02-26 17:09:00,WEST,EXPRESS,21.19,7.9
ORD000277,CUST00113,2026-02-26 13:18:00,SOUTH,STANDARD,17.76,84.5
ORD000278,CUST00531,2026-01-31 15:28:00,EAST,STANDARD,19.57,33.0
ORD000279,CUST00558,2026-04-06 14:45:00,NORTH,STANDARD,24.38,75.7
ORD000280,CUST00342,2026-03-09 04:27:00,SOUTH,STANDARD,2.75,69.3
ORD000281,CUST00006,2026-01-09 06:24:00,NORTH,STANDARD,11.9,46.6
ORD000282,CUST00859,2026-02-11 02:55:00,EAST,STANDARD,22.91,39.1
ORD000283,CUST00108,2026-02-02 21:34:00,SOUTH,EXPRESS,24.54,114.5
ORD000284,CUST00017,2026-03-09 09:49:00,SOUTH,STANDARD,19.66,89.0
ORD000285,CUST00401,2026-05-14 14:10:00,CENTRAL,EXPRESS,6.28,1.8
ORD000286,CUST00020,2026-03-03 05:42:00,NORTH,EXPRESS,9.53,88.8
ORD000287,CUST00488,2026-03-18 16:12:00,WEST,PRIORITY,24.32,17.9
ORD000288,CUST00763,2026-03-25 17:02:00,NORTH,STANDARD,12.73,76.8
ORD000289,CUST00891,2026-05-01 20:15:00,SOUTH,STANDARD,6.67,38.5
ORD000290,CUST00416,2026-01-26 00:40:00,CENTRAL,STANDARD,2.82,54.5
ORD000291,CUST00734,2026-05-21 11:39:00,SOUTH,STANDARD,11.69,102.4
ORD000292,CUST00083,2026-02-09 09:26:00,EAST,STANDARD,17.84,116.2
ORD000293,CUST00533,2026-05-30 13:01:00,SOUTH,STANDARD,10.23,54.8
ORD000294,CUST00249,2026-01-03 10:14:00,NORTH,EXPRESS,24.57,16.6
ORD000295,CUST01193,2026-04-17 22:47:00,EAST,PRIORITY,2.06,119.7
ORD000296,CUST00680,2026-01-23 13:19:00,NORTH,PRIORITY,1.46,111.0
ORD000297,CUST00784,2026-05-05 15:00:00,WEST,STANDARD,5.52,23.3
ORD000298,CUST00605,2026-04-02 01:41:00,WEST,EXPRESS,12.08,11.4
ORD000299,CUST01077,2026-02-15 14:32:00,CENTRAL,EXPRESS,24.74,94.0
ORD000300,CUST00659,2026-03-12 22:51:00,EAST,STANDARD,8.11,27.1
ORD000301,CUST00733,2026-05-20 20:23:00,CENTRAL,PRIORITY,24.35,12.9
ORD000302,CUST01180,2026-05-26 09:51:00,WEST,STANDARD,21.01,101.6
ORD000303,CUST00735,2026-04-18 22:34:00,NORTH,EXPRESS,8.92,68.6
ORD000304,CUST00185,2026-01-11 11:24:00,SOUTH,EXPRESS,0.69,57.9
ORD000305,CUST00364,2026-05-27 07:50:00,EAST,STANDARD,3.86,84.9
ORD000306,CUST00811,2026-04-17 22:20:00,NORTH,STANDARD,8.2,117.1
ORD000307,CUST00357,2026-05-09 23:43:00,CENTRAL,EXPRESS,23.24,94.7
ORD000308,CUST00364,2026-05-13 22:18:00,NORTH,PRIORITY,23.73,47.6
ORD000309,CUST00453,2026-04-27 16:39:00,CENTRAL,STANDARD,12.51,40.4
ORD000310,CUST00182,2026-05-30 19:53:00,EAST,STANDARD,6.78,30.7
