ORDER_ID,COURIER,WAREHOUSE,HANDOFFS,PRIOR_DELAYS,DELIVERY_DELAY_MINUTES
ORD000042,RapidoLog,WH-C3,3,7,49.2
ORD000043,MetroDash,WH-A1,2,8,90.5
ORD000044,SwiftRun,WH-A1,1,7,43.0
ORD000045,RapidoLog,WH-D4,3,3,69.7
ORD000046,RapidoLog,WH-A1,4,3,95.6
ORD000047,NovaShip,WH-C3,3,8,78.3
ORD000048,CityHop,WH-D4,5,3,113.0
ORD000049,NovaShip,WH-A1,1,2,55.0
ORD000050,MetroDash,WH-D4,3,0,78.5
ORD000051,RapidoLog,WH-B2,3,3,67.4
ORD000052,NovaShip,WH-A1,3,0,84.1
ORD000053,RapidoLog,WH-C3,1,7,56.5
ORD000054,NovaShip,WH-A1,2,3,63.8
ORD000055,SwiftRun,WH-B2,1,2,59.6
ORD000056,SwiftRun,WH-B2,2,1,36.0
ORD000057,MetroDash,WH-A1,4,3,101.5
ORD000058,CityHop,WH-A1,4,5,83.3
ORD000059,RapidoLog,WH-B2,3,2,96.0
ORD000060,NovaShip,WH-C3,2,3,49.3
ORD000061,RapidoLog,WH-C3,0,7,73.5
ORD000062,CityHop,WH-A1,4,3,113.8
ORD000063,RapidoLog,WH-D4,0,1,66.7
ORD000064,NovaShip,WH-C3,2,7,88.2
ORD000065,NovaShip,WH-B2,1,3,72.2
ORD000066,CityHop,WH-B2,2,0,66.6
ORD000067,MetroDash,WH-D4,0,0,38.2
ORD000068,SwiftRun,WH-A1,3,7,50.1
ORD000069,SwiftRun,WH-B2,0,8,75.0
ORD000070,NovaShip,WH-D4,2,0,69.7
ORD000071,MetroDash,WH-B2,4,1,57.4
ORD000072,RapidoLog,WH-A1,5,3,96.4
ORD000073,NovaShip,WH-B2,5,2,110.8
ORD000074,CityHop,WH-D4,0,7,63.7
ORD000075,SwiftRun,WH-A1,3,5,51.7
ORD000076,CityHop,WH-A1,1,7,66.8
ORD000077,RapidoLog,WH-A1,3,5,56.0
ORD000078,RapidoLog,WH-A1,3,1,70.5
ORD000079,SwiftRun,WH-D4,3,0,74.7
ORD000080,CityHop,WH-D4,5,7,99.5
ORD000081,SwiftRun,WH-D4,0,3,55.4
ORD000082,CityHop,WH-D4,3,7,98.7
ORD000083,MetroDash,WH-A1,2,6,61.5
ORD000084,RapidoLog,WH-B2,3,8,94.8
ORD000085,CityHop,WH-B2,5,3,92.4
ORD000086,RapidoLog,WH-B2,3,0,60.9
ORD000087,SwiftRun,WH-D4,0,2,29.7
ORD000088,RapidoLog,WH-A1,2,8,75.9
ORD000089,CityHop,WH-B2,5,1,57.9
ORD000090,SwiftRun,WH-C3,2,5,63.1
ORD000091,MetroDash,WH-B2,0,6,79.0
ORD000092,SwiftRun,WH-D4,2,8,57.8
ORD000093,RapidoLog,WH-C3,3,4,70.0
ORD000094,CityHop,WH-A1,5,6,100.9
ORD000095,NovaShip,WH-D4,2,3,85.1
ORD000096,MetroDash,WH-A1,5,0,75.2
ORD000097,CityHop,WH-C3,5,6,118.2
ORD000098,RapidoLog,WH-C3,5,5,101.8
ORD000099,RapidoLog,WH-C3,0,6,85.3
ORD000100,SwiftRun,WH-B2,3,0,75.6
ORD000101,CityHop,WH-D4,0,2,64.2
ORD000102,CityHop,WH-D4,4,2,87.7
ORD000103,CityHop,WH-A1,5,5,98.6
ORD000104,CityHop,WH-A1,3,4,84.0
ORD000105,SwiftRun,WH-A1,2,3,63.2
ORD000106,CityHop,WH-B2,4,0,89.9
ORD000107,SwiftRun,WH-B2,0,5,59.4
ORD000108,SwiftRun,WH-A1,3,7,68.1
ORD000109,SwiftRun,WH-C3,3,0,81.1
ORD000110,SwiftRun,WH-C3,4,2,94.4
ORD000111,RapidoLog,WH-C3,3,8,83.3
ORD000112,MetroDash,WH-D4,2,7,55.8
ORD000113,MetroDash,WH-D4,0,1,45.7
ORD000114,NovaShip,WH-C3,5,1,99.5
ORD000115,NovaShip,WH-C3,2,1,66.5
ORD000116,CityHop,WH-B2,3,8,90.2
ORD000117,MetroDash,WH-C3,5,4,84.7
ORD000118,SwiftRun,WH-A1,5,8,64.5
ORD000119,CityHop,WH-A1,0,2,67.7
ORD000120,CityHop,WH-B2,4,1,92.9
ORD000121,CityHop,WH-A1,1,6,85.6
ORD000122,SwiftRun,WH-A1,3,6,68.1
ORD000123,CityHop,WH-A1,3,0,85.6
ORD000124,CityHop,WH-A1,3,0,77.8
ORD000125,RapidoLog,WH-A1,1,6,73.5
ORD000126,SwiftRun,WH-B2,2,5,78.4
ORD000127,SwiftRun,WH-B2,5,7,71.0
ORD000128,CityHop,WH-B2,3,1,83.6
ORD000129,SwiftRun,WH-C3,3,7,94.2
ORD000130,NovaShip,WH-A1,3,3,69.6
ORD000131,CityHop,WH-A1,4,2,110.6
ORD000132,RapidoLog,WH-D4,2,0,49.2
ORD000133,NovaShip,WH-B2,2,1,69.6
ORD000134,NovaShip,WH-D4,5,5,109.5
ORD000135,SwiftRun,WH-C3,2,2,79.0
ORD000136,SwiftRun,WH-A1,5,5,49.9
ORD000137,NovaShip,WH-B2,5,7,107.5
ORD000138,NovaShip,WH-B2,2,7,91.2
ORD000139,RapidoLog,WH-D4,1,3,37.9
ORD000140,NovaShip,WH-A1,2,1,75.4
ORD000141,MetroDash,WH-D4,2,0,27.6
ORD000142,SwiftRun,WH-C3,1,2,28.2
ORD000143,RapidoLog,WH-A1,0,0,35.0
ORD000144,CityHop,WH-A1,0,3,62.0
ORD000145,NovaShip,WH-A1,5,8,85.7
ORD000146,SwiftRun,WH-C3,0,8,34.8
ORD000147,RapidoLog,WH-C3,2,0,52.6
ORD000148,SwiftRun,WH-C3,4,5,73.4
ORD000149,MetroDash,WH-A1,5,7,88.1
ORD000150,NovaShip,WH-D4,2,0,55.5
ORD000151,CityHop,WH-A1,2,6,77.7
ORD000152,NovaShip,WH-C3,0,6,66.2
ORD000153,SwiftRun,WH-A1,2,4,29.3
ORD000154,CityHop,WH-D4,2,0,77.7
ORD000155,SwiftRun,WH-B2,4,7,105.0
ORD000156,RapidoLog,WH-C3,2,7,46.9
ORD000157,MetroDash,WH-A1,0,2,60.6
ORD000158,NovaShip,WH-C3,5,7,92.8
ORD000159,RapidoLog,WH-A1,5,5,73.9
ORD000160,MetroDash,WH-C3,4,3,75.8
ORD000161,NovaShip,WH-C3,3,8,110.3
ORD000162,RapidoLog,WH-A1,1,5,61.2
ORD000163,NovaShip,WH-B2,1,6,50.0
ORD000164,MetroDash,WH-C3,4,4,87.2
ORD000165,CityHop,WH-A1,4,2,90.2
ORD000166,NovaShip,WH-A1,0,1,48.8
ORD000167,NovaShip,WH-A1,3,8,78.2
ORD000168,RapidoLog,WH-D4,3,7,98.3
ORD000169,CityHop,WH-D4,1,5,82.7
ORD000170,CityHop,WH-D4,4,6,83.3
ORD000171,MetroDash,WH-D4,4,7,70.9
ORD000172,CityHop,WH-A1,0,4,89.7
ORD000173,MetroDash,WH-C3,5,5,72.3
ORD000174,RapidoLog,WH-D4,4,4,76.2
ORD000175,CityHop,WH-B2,1,8,98.8
ORD000176,NovaShip,WH-B2,2,5,64.7
ORD000177,NovaShip,WH-D4,5,4,86.3
ORD000178,SwiftRun,WH-D4,2,3,58.5
ORD000179,RapidoLog,WH-B2,5,3,102.2
ORD000180,MetroDash,WH-D4,4,7,89.6
ORD000181,RapidoLog,WH-D4,2,2,85.4
ORD000182,NovaShip,WH-C3,1,4,60.8
ORD000183,NovaShip,WH-C3,2,1,60.7
ORD000184,CityHop,WH-A1,2,7,82.5
ORD000185,NovaShip,WH-C3,1,1,75.2
ORD000186,CityHop,WH-D4,0,2,55.0
ORD000187,RapidoLog,WH-B2,2,5,96.4
ORD000188,SwiftRun,WH-B2,3,2,77.7
ORD000189,CityHop,WH-A1,0,4,87.0
ORD000190,MetroDash,WH-D4,2,3,61.6
ORD000191,SwiftRun,WH-C3,2,3,61.9
ORD000192,MetroDash,WH-D4,2,3,72.4
ORD000193,CityHop,WH-A1,2,5,107.1
ORD000194,CityHop,WH-A1,5,4,106.1
ORD000195,NovaShip,WH-C3,3,8,83.5
ORD000196,NovaShip,WH-D4,4,5,79.7
ORD000197,NovaShip,WH-B2,1,5,77.4
ORD000198,SwiftRun,WH-D4,1,8,85.6
ORD000199,SwiftRun,WH-D4,2,0,55.7
ORD000200,SwiftRun,WH-D4,0,4,28.4
ORD000201,RapidoLog,WH-C3,3,7,94.1
ORD000202,NovaShip,WH-D4,4,2,94.2
ORD000203,RapidoLog,WH-D4,1,3,38.2
ORD000204,SwiftRun,WH-B2,1,1,57.3
ORD000205,MetroDash,WH-A1,3,7,104.2
ORD000206,NovaShip,WH-C3,4,5,84.9
ORD000207,CityHop,WH-A1,4,2,64.5
ORD000208,CityHop,WH-D4,3,2,80.3
ORD000209,CityHop,WH-B2,3,0,67.2
ORD000210,SwiftRun,WH-D4,2,1,53.3
ORD000211,SwiftRun,WH-A1,1,8,63.4
ORD000212,RapidoLog,WH-B2,5,3,79.0
ORD000213,CityHop,WH-C3,2,5,80.5
ORD000214,CityHop,WH-D4,0,3,44.9
ORD000215,CityHop,WH-B2,1,5,91.9
ORD000216,RapidoLog,WH-D4,3,2,68.3
ORD000217,NovaShip,WH-A1,4,0,83.2
ORD000218,MetroDash,WH-A1,1,8,80.6
ORD000219,RapidoLog,WH-D4,0,0,35.4
ORD000220,RapidoLog,WH-B2,0,1,39.9
ORD000221,CityHop,WH-D4,0,5,80.5
ORD000222,SwiftRun,WH-A1,3,6,77.4
ORD000223,RapidoLog,WH-D4,5,5,79.6
ORD000224,NovaShip,WH-D4,2,0,77.1
ORD000225,CityHop,WH-A1,1,2,68.4
ORD000226,RapidoLog,WH-C3,3,2,54.0
ORD000227,CityHop,WH-D4,2,0,65.4
ORD000228,NovaShip,WH-D4,0,4,69.3
ORD000229,MetroDash,WH-D4,2,5,65.4
ORD000230,RapidoLog,WH-D4,4,8,59.6
ORD000231,NovaShip,WH-C3,3,0,62.2
ORD000232,MetroDash,WH-D4,1,2,65.2
ORD000233,RapidoLog,WH-C3,3,1,42.0
ORD000234,RapidoLog,WH-C3,4,6,89.3
ORD000235,NovaShip,WH-B2,2,5,92.5
ORD000236,RapidoLog,WH-B2,2,6,60.3
ORD000237,NovaShip,WH-B2,5,8,122.7
ORD000238,RapidoLog,WH-D4,1,4,51.1
ORD000239,NovaShip,WH-D4,4,6,72.5
ORD000240,NovaShip,WH-A1,0,3,47.2
ORD000241,RapidoLog,WH-C3,3,1,98.1
ORD000242,CityHop,WH-D4,3,8,107.8
ORD000243,SwiftRun,WH-A1,5,2,70.9
ORD000244,RapidoLog,WH-C3,0,4,48.5
ORD000245,MetroDash,WH-B2,4,2,77.9
ORD000246,RapidoLog,WH-D4,0,3,40.5
ORD000247,SwiftRun,WH-A1,4,2,81.0
ORD000248,NovaShip,WH-D4,4,1,89.5
ORD000249,CityHop,WH-A1,5,2,92.8
ORD000250,MetroDash,WH-D4,3,2,65.8
ORD000251,NovaShip,WH-B2,3,4,94.0
ORD000252,MetroDash,WH-D4,4,8,99.9
ORD000253,SwiftRun,WH-A1,1,4,84.7
ORD000254,NovaShip,WH-A1,4,1,113.6
ORD000255,SwiftRun,WH-D4,4,3,63.4
ORD000256,RapidoLog,WH-A1,1,3,56.8
ORD000257,MetroDash,WH-B2,0,5,38.3
ORD000258,SwiftRun,WH-B2,3,0,64.5
ORD000259,CityHop,WH-B2,5,6,67.5
ORD000260,SwiftRun,WH-D4,4,4,74.6
ORD000261,SwiftRun,WH-D4,5,5,76.0
ORD000262,CityHop,WH-C3,4,2,65.5
ORD000263,RapidoLog,WH-A1,0,2,42.6
ORD000264,CityHop,WH-A1,5,5,96.5
ORD000265,CityHop,WH-B2,3,1,67.9
ORD000266,SwiftRun,WH-C3,0,6,54.8
ORD000267,SwiftRun,WH-C3,2,4,69.4
ORD000268,MetroDash,WH-D4,2,3,80.5
ORD000269,SwiftRun,WH-B2,0,6,47.4
ORD000270,NovaShip,WH-C3,5,0,81.9
ORD000271,SwiftRun,WH-B2,3,6,66.2
ORD000272,NovaShip,WH-D4,2,8,81.1
ORD000273,SwiftRun,WH-A1,2,3,48.0
ORD000274,RapidoLog,WH-A1,5,8,82.1
ORD000275,MetroDash,WH-B2,4,5,73.2
ORD000276,SwiftRun,WH-D4,0,7,71.1
ORD000277,MetroDash,WH-D4,2,8,78.2
ORD000278,SwiftRun,WH-A1,2,6,82.4
ORD000279,RapidoLog,WH-D4,4,5,108.7
ORD000280,SwiftRun,WH-B2,5,8,81.5
ORD000281,MetroDash,WH-B2,0,8,69.4
ORD000282,SwiftRun,WH-C3,0,8,61.9
ORD000283,SwiftRun,WH-D4,2,4,68.5
ORD000284,MetroDash,WH-D4,2,7,96.7
ORD000285,RapidoLog,WH-A1,1,8,38.4
ORD000286,CityHop,WH-A1,1,8,79.4
ORD000287,CityHop,WH-A1,0,3,64.6
ORD000288,RapidoLog,WH-A1,4,0,80.1
ORD000289,RapidoLog,WH-C3,2,7,76.2
ORD000290,CityHop,WH-D4,0,8,65.5
ORD000291,SwiftRun,WH-B2,5,4,87.5
ORD000292,RapidoLog,WH-A1,5,4,88.2
ORD000293,NovaShip,WH-B2,0,7,85.2
ORD000294,RapidoLog,WH-C3,5,1,95.0
ORD000295,MetroDash,WH-D4,1,1,42.0
ORD000296,RapidoLog,WH-D4,3,0,29.6
ORD000297,CityHop,WH-D4,1,0,46.0
ORD000298,RapidoLog,WH-B2,3,3,48.9
ORD000299,CityHop,WH-D4,4,7,111.7
ORD000300,CityHop,WH-A1,3,8,92.0
ORD000301,MetroDash,WH-C3,4,0,82.1
ORD000302,MetroDash,WH-B2,4,5,85.9
ORD000303,MetroDash,WH-B2,3,8,78.8
ORD000304,CityHop,WH-B2,1,5,65.6
ORD000305,MetroDash,WH-A1,4,5,82.3
ORD000306,RapidoLog,WH-D4,5,5,84.8
ORD000307,MetroDash,WH-B2,3,4,93.0
ORD000308,NovaShip,WH-A1,1,5,62.1
ORD000309,SwiftRun,WH-B2,2,5,69.1
ORD000310,SwiftRun,WH-C3,2,1,79.6
ORD000311,RapidoLog,WH-D4,3,5,76.0
ORD000312,SwiftRun,WH-A1,2,0,67.5
ORD000313,SwiftRun,WH-A1,2,7,68.5
ORD000314,MetroDash,WH-D4,5,8,89.3
ORD000315,NovaShip,WH-D4,1,0,42.6
ORD000316,CityHop,WH-A1,3,1,77.8
ORD000317,NovaShip,WH-D4,1,5,96.4
ORD000318,NovaShip,WH-A1,1,1,55.2
ORD000319,MetroDash,WH-A1,3,8,78.9
ORD000320,SwiftRun,WH-B2,0,7,51.6
ORD000321,RapidoLog,WH-B2,5,2,68.7
ORD000322,NovaShip,WH-D4,0,8,83.9
ORD000323,SwiftRun,WH-A1,4,1,86.7
ORD000324,SwiftRun,WH-B2,2,6,56.0
ORD000325,CityHop,WH-B2,0,7,83.2
ORD000326,SwiftRun,WH-B2,1,4,78.4
ORD000327,MetroDash,WH-D4,1,6,68.3
ORD000328,NovaShip,WH-D4,1,8,78.3
ORD000329,MetroDash,WH-A1,3,0,91.3
ORD000330,SwiftRun,WH-B2,2,7,64.9
ORD000331,CityHop,WH-A1,2,0,59.7
ORD000332,CityHop,WH-D4,4,0,90.8
ORD000333,CityHop,WH-C3,5,4,89.4
ORD000334,NovaShip,WH-D4,4,1,90.6
ORD000335,SwiftRun,WH-D4,0,5,72.1
ORD000336,SwiftRun,WH-D4,5,5,93.0
ORD000337,RapidoLog,WH-D4,3,0,49.4
ORD000338,CityHop,WH-C3,1,8,78.9
ORD000339,NovaShip,WH-B2,5,5,116.6
ORD000340,NovaShip,WH-C3,3,1,105.6
ORD000341,MetroDash,WH-A1,5,6,101.5
ORD000342,RapidoLog,WH-B2,2,2,81.0
ORD000343,SwiftRun,WH-D4,2,3,40.7
ORD000344,RapidoLog,WH-D4,3,0,57.3
ORD000345,NovaShip,WH-B2,0,0,59.4
ORD000346,SwiftRun,WH-A1,2,4,57.4
ORD000347,MetroDash,WH-C3,3,5,91.8
ORD000348,SwiftRun,WH-B2,0,5,84.8
ORD000349,SwiftRun,WH-A1,5,0,68.6
ORD000350,SwiftRun,WH-C3,3,1,58.4
ORD000351,SwiftRun,WH-A1,2,1,38.4
ORD000352,RapidoLog,WH-C3,1,0,60.7
ORD000353,SwiftRun,WH-A1,0,7,44.3
ORD000354,CityHop,WH-C3,3,0,65.1
ORD000355,CityHop,WH-D4,5,1,98.3
ORD000356,RapidoLog,WH-C3,5,1,70.6
ORD000357,CityHop,WH-D4,5,7,108.7
ORD000358,MetroDash,WH-A1,3,7,68.5
ORD000359,SwiftRun,WH-B2,3,7,87.5
ORD000360,NovaShip,WH-B2,5,5,90.1
ORD000361,CityHop,WH-D4,1,8,91.4
ORD000362,MetroDash,WH-A1,3,5,73.6
ORD000363,RapidoLog,WH-B2,0,7,46.5
ORD000364,SwiftRun,WH-A1,3,6,93.8
ORD000365,NovaShip,WH-C3,4,8,96.7
ORD000366,NovaShip,WH-D4,5,5,112.8
ORD000367,CityHop,WH-C3,5,1,72.8
ORD000368,RapidoLog,WH-B2,3,3,94.7
ORD000369,SwiftRun,WH-D4,3,8,101.2
ORD000370,NovaShip,WH-B2,5,2,93.2
ORD000371,RapidoLog,WH-D4,4,3,64.7
ORD000372,NovaShip,WH-C3,5,8,125.1
ORD000373,CityHop,WH-C3,5,2,105.5
ORD000374,CityHop,WH-D4,4,6,74.2
ORD000375,MetroDash,WH-A1,5,0,78.6
ORD000376,MetroDash,WH-A1,2,7,86.7
ORD000377,MetroDash,WH-C3,5,0,83.6
ORD000378,RapidoLog,WH-B2,5,5,100.4
ORD000379,RapidoLog,WH-B2,5,1,83.4
ORD000380,MetroDash,WH-C3,0,5,55.6
ORD000381,NovaShip,WH-C3,3,8,108.7
ORD000382,MetroDash,WH-D4,4,8,86.3
ORD000383,CityHop,WH-C3,1,8,73.8
ORD000384,NovaShip,WH-B2,0,5,81.3
ORD000385,NovaShip,WH-C3,4,8,93.7
ORD000386,NovaShip,WH-A1,5,1,89.7
ORD000387,NovaShip,WH-D4,5,1,79.3
ORD000388,CityHop,WH-A1,4,3,81.8
ORD000389,RapidoLog,WH-A1,4,0,59.5
ORD000390,CityHop,WH-A1,2,7,77.6
ORD000391,RapidoLog,WH-C3,5,2,83.7
ORD000392,NovaShip,WH-D4,4,8,90.9
ORD000393,RapidoLog,WH-B2,1,2,71.6
ORD000394,NovaShip,WH-D4,5,8,100.0
ORD000395,CityHop,WH-C3,1,3,69.3
ORD000396,NovaShip,WH-B2,4,5,106.4
ORD000397,RapidoLog,WH-C3,2,2,48.8
ORD000398,MetroDash,WH-A1,2,2,56.6
ORD000399,SwiftRun,WH-A1,4,6,75.0
ORD000400,MetroDash,WH-C3,3,3,97.1
ORD000401,SwiftRun,WH-B2,4,2,65.7
ORD000402,RapidoLog,WH-C3,0,3,54.3
ORD000403,NovaShip,WH-C3,3,7,92.2
ORD000404,CityHop,WH-C3,4,8,110.8
ORD000405,SwiftRun,WH-C3,3,3,57.2
ORD000406,RapidoLog,WH-B2,1,1,30.6
ORD000407,SwiftRun,WH-B2,3,5,58.0
ORD000408,MetroDash,WH-A1,1,2,68.3
ORD000409,CityHop,WH-B2,4,6,110.3
ORD000410,RapidoLog,WH-D4,1,3,27.9
ORD000411,NovaShip,WH-C3,1,5,74.9
ORD000412,NovaShip,WH-D4,1,1,43.4
ORD000413,SwiftRun,WH-A1,3,2,92.8
ORD000414,NovaShip,WH-D4,1,7,62.9
ORD000415,NovaShip,WH-A1,3,2,82.7
ORD000416,SwiftRun,WH-A1,4,0,81.8
ORD000417,MetroDash,WH-D4,5,4,70.7
ORD000418,RapidoLog,WH-D4,1,5,101.8
ORD000419,RapidoLog,WH-B2,5,1,80.0
ORD000420,NovaShip,WH-A1,1,6,79.9
ORD000421,SwiftRun,WH-A1,2,3,43.9
ORD000422,SwiftRun,WH-B2,5,7,90.3
ORD000423,MetroDash,WH-A1,4,8,101.2
ORD000424,SwiftRun,WH-C3,3,5,90.5
ORD000425,SwiftRun,WH-C3,5,8,80.8
ORD000426,SwiftRun,WH-C3,1,6,37.7
ORD000427,NovaShip,WH-C3,4,4,80.4
ORD000428,RapidoLog,WH-A1,3,1,54.8
ORD000429,MetroDash,WH-C3,3,5,85.8
ORD000430,SwiftRun,WH-B2,3,5,89.8
ORD000431,MetroDash,WH-D4,5,3,104.2
ORD000432,MetroDash,WH-A1,0,1,60.7
ORD000433,RapidoLog,WH-C3,4,5,48.8
ORD000434,RapidoLog,WH-B2,4,2,83.7
ORD000435,RapidoLog,WH-B2,3,1,65.2
ORD000436,CityHop,WH-B2,4,4,81.0
ORD000437,RapidoLog,WH-B2,3,5,44.4
ORD000438,SwiftRun,WH-C3,1,8,69.5
ORD000439,SwiftRun,WH-B2,3,7,94.7
ORD000440,NovaShip,WH-A1,3,1,67.7
ORD000441,RapidoLog,WH-C3,2,5,53.6
ORD000442,NovaShip,WH-B2,4,8,99.4
ORD000443,RapidoLog,WH-A1,3,4,73.4
ORD000444,SwiftRun,WH-A1,1,5,77.8
ORD000445,RapidoLog,WH-C3,3,5,71.6
ORD000446,CityHop,WH-A1,1,2,49.0
ORD000447,SwiftRun,WH-D4,4,1,87.4
ORD000448,MetroDash,WH-B2,4,2,73.8
ORD000449,NovaShip,WH-C3,4,7,87.0
ORD000450,NovaShip,WH-D4,4,8,113.1
ORD000451,CityHop,WH-D4,2,2,84.4
ORD000452,RapidoLog,WH-C3,0,6,60.8
ORD000453,NovaShip,WH-D4,3,3,81.7
ORD000454,NovaShip,WH-C3,2,8,87.5
ORD000455,RapidoLog,WH-D4,2,7,50.2
ORD000456,RapidoLog,WH-A1,1,1,39.8
ORD000457,RapidoLog,WH-C3,3,0,68.7
ORD000458,MetroDash,WH-C3,3,0,63.8
ORD000459,SwiftRun,WH-B2,3,1,57.8
ORD000460,NovaShip,WH-A1,2,7,53.4
ORD000461,SwiftRun,WH-B2,5,6,81.1
ORD000462,NovaShip,WH-D4,5,2,89.2
ORD000463,CityHop,WH-A1,0,5,66.1
ORD000464,CityHop,WH-D4,5,3,116.7
ORD000465,RapidoLog,WH-D4,4,4,77.4
ORD000466,NovaShip,WH-B2,0,8,75.7
ORD000467,NovaShip,WH-D4,5,2,85.3
ORD000468,NovaShip,WH-D4,1,8,81.6
ORD000469,CityHop,WH-A1,0,8,67.5
ORD000470,NovaShip,WH-D4,5,7,107.0
ORD000471,SwiftRun,WH-A1,1,7,83.3
ORD000472,CityHop,WH-A1,4,4,98.7
ORD000473,NovaShip,WH-A1,0,3,30.0
ORD000474,NovaShip,WH-D4,5,1,114.3
ORD000475,MetroDash,WH-D4,4,5,74.2
ORD000476,RapidoLog,WH-D4,5,5,100.3
ORD000477,CityHop,WH-C3,3,7,118.5
ORD000478,SwiftRun,WH-C3,1,3,56.8
ORD000479,NovaShip,WH-B2,0,0,34.6
ORD000480,NovaShip,WH-D4,4,3,76.3
ORD000481,NovaShip,WH-A1,4,4,80.2
ORD000482,RapidoLog,WH-D4,0,3,35.7
ORD000483,NovaShip,WH-B2,2,8,92.2
ORD000484,RapidoLog,WH-B2,1,5,45.6
ORD000485,RapidoLog,WH-D4,5,2,78.7
ORD000486,NovaShip,WH-B2,1,1,36.6
ORD000487,RapidoLog,WH-D4,2,5,80.1
ORD000488,RapidoLog,WH-B2,3,0,67.6
ORD000489,SwiftRun,WH-B2,4,2,80.7
ORD000490,NovaShip,WH-B2,1,8,80.5
ORD000491,SwiftRun,WH-D4,4,8,119.2
ORD000492,SwiftRun,WH-D4,5,4,98.3
ORD000493,RapidoLog,WH-A1,2,7,89.3
ORD000494,SwiftRun,WH-B2,4,4,55.4
ORD000495,CityHop,WH-C3,1,8,57.5
ORD000496,CityHop,WH-D4,5,2,101.9
ORD000497,MetroDash,WH-D4,1,2,66.3
ORD000498,MetroDash,WH-B2,2,8,88.5
ORD000499,SwiftRun,WH-A1,1,5,48.0
ORD000500,RapidoLog,WH-C3,1,3,40.9
ORD000501,NovaShip,WH-B2,4,3,112.5
ORD000502,CityHop,WH-B2,3,7,104.4
ORD000503,SwiftRun,WH-C3,3,3,53.3
ORD000504,RapidoLog,WH-C3,3,3,54.1
ORD000505,RapidoLog,WH-A1,4,1,73.1
ORD000506,RapidoLog,WH-A1,1,4,84.7
ORD000507,CityHop,WH-A1,5,8,113.5
ORD000508,NovaShip,WH-B2,3,6,118.9
ORD000509,MetroDash,WH-D4,0,4,60.9
ORD000510,SwiftRun,WH-D4,5,8,105.3
ORD000511,NovaShip,WH-B2,1,2,82.4
ORD000512,MetroDash,WH-A1,1,3,73.6
ORD000513,SwiftRun,WH-D4,1,3,48.5
ORD000514,CityHop,WH-B2,0,2,46.8
ORD000515,NovaShip,WH-C3,2,1,98.2
ORD000516,NovaShip,WH-B2,3,5,81.9
ORD000517,RapidoLog,WH-A1,2,7,105.6
ORD000518,SwiftRun,WH-A1,4,8,77.9
ORD000519,NovaShip,WH-C3,2,8,72.4
ORD000520,MetroDash,WH-B2,5,4,93.2
ORD000521,MetroDash,WH-D4,3,0,64.9
ORD000522,CityHop,WH-C3,0,1,54.1
ORD000523,MetroDash,WH-B2,2,5,67.6
ORD000524,NovaShip,WH-C3,3,6,72.6
ORD000525,SwiftRun,WH-B2,4,5,87.0
ORD000526,NovaShip,WH-B2,4,6,70.1
ORD000527,CityHop,WH-A1,2,6,103.8
ORD000528,SwiftRun,WH-B2,0,7,53.1
ORD000529,RapidoLog,WH-C3,2,2,44.7
